Atributo,NumDados,Tempo_Relogio(ms),Tempo_CPU_Usuario(ms),Tempo_CPU_Sistema(ms)
0,1000,7.90462,7.1781,7.1824
1,1000,14.0174,12.7299,12.7354
2,1000,20.6111,18.7192,18.7263
3,1000,28.6485,26.0188,26.0299
4,1000,32.9605,29.9342,29.9472
5,1000,37.1622,33.7489,33.7643
6,1000,41.5193,37.7032,37.7217
7,1000,45.8381,41.6258,41.6452
8,1000,50.2036,45.5892,45.6109
9,1000,55.1108,50.0455,50.0685
10,1000,59.6639,54.1811,54.2044
11,1000,65.4698,59.4533,59.4785
12,1000,71.7735,65.1793,65.2046
13,1000,76.2313,69.2289,69.2548
14,1000,80.446,73.0576,73.0839
15,1000,84.5874,76.82,76.8464
16,1000,88.7274,80.5766,80.6066
17,1000,92.8132,84.2893,84.3189
18,1000,96.904,88.0056,88.0357
19,1000,101.085,91.7993,91.8334
20,1000,105.204,95.5422,95.576
21,1000,109.298,99.2609,99.2953
22,1000,113.484,103.061,103.097
23,1000,117.639,106.835,106.871
24,1000,121.68,110.507,110.543
25,1000,125.801,114.25,114.287
26,1000,129.903,117.976,118.013
27,1000,133.965,121.667,121.704
28,1000,138.157,125.475,125.512
29,1000,142.322,129.258,129.296
30,1000,146.425,132.985,133.023
31,1000,150.565,136.746,136.785
32,1000,154.727,140.527,140.566
33,1000,158.842,144.266,144.305
34,1000,162.957,148.004,148.044
35,1000,167.314,151.962,152.002
36,1000,171.421,155.692,155.733
37,1000,175.564,159.455,159.496
38,1000,179.674,163.189,163.23
39,1000,183.794,166.932,166.973
40,1000,187.951,170.706,170.75
41,1000,192.837,175.145,175.189
42,1000,197.663,179.53,179.575
43,1000,202.626,184.035,184.084
44,1000,207.48,188.445,188.494
45,1000,212.327,192.848,192.898
46,1000,217.382,197.439,197.491
47,1000,222.417,202.012,202.065
48,1000,227.454,206.586,206.641
49,1000,231.799,210.532,210.588
50,1000,236.262,214.584,214.642
51,1000,240.714,218.626,218.686
52,1000,244.905,222.432,222.493
53,1000,249.303,226.421,226.488
54,1000,253.604,230.327,230.396
55,1000,257.838,234.174,234.243
56,1000,262.587,238.487,238.557
57,1000,267.281,242.75,242.821
58,1000,272.129,247.154,247.225
59,1000,277.777,252.284,252.355
60,1000,283.205,257.212,257.286
61,1000,288.285,261.824,261.899
62,1000,292.866,265.984,266.061
63,1000,300.273,272.711,272.79
64,1000,306.352,278.231,278.312
65,1000,312.111,283.46,283.544
66,1000,317.246,288.125,288.209
67,1000,322.483,292.879,292.967
68,1000,327.795,297.703,297.793
69,1000,332.28,301.776,301.867
70,1000,337.205,306.247,306.338
71,1000,342.286,310.857,310.953
72,1000,348.092,316.125,316.221
73,1000,353.512,321.049,321.146
74,1000,360.853,327.715,327.816
75,1000,365.244,331.702,331.804
76,1000,369.602,335.658,335.763
77,1000,373.884,339.545,339.653
78,1000,378.133,343.404,343.513
79,1000,382.521,347.386,347.499
80,1000,386.707,351.188,351.302
81,1000,390.955,355.046,355.16
82,1000,395.42,359.101,359.216
83,1000,399.775,363.054,363.172
84,1000,404.371,367.228,367.346
85,1000,408.965,371.396,371.519
86,1000,413.243,375.282,375.405
87,1000,417.357,379.021,379.143
88,1000,421.552,382.83,382.954
89,1000,425.727,386.624,386.747
90,1000,429.88,390.395,390.52
91,1000,434.479,394.569,394.698
92,1000,438.743,398.438,398.57
93,1000,443.538,402.792,402.926
94,1000,448.045,406.882,407.019
95,1000,452.528,410.953,411.092
96,1000,457.024,415.038,415.177
97,1000,461.338,418.954,419.096
98,1000,465.806,423.008,423.153
99,1000,470.243,427.035,427.184
