n,Resultado,Tempo_Relogio(ms),Tempo_CPU_Usuario(ms),Tempo_CPU_Sistema(ms)
1000,0,0.527047,0.4844,0.4856
1000,1,0.544986,0.5021,0.5022
1000,2,0.206304,0.1881,0.1878
1000,3,0.167983,0.153,0.1526
1000,4,0.351196,0.3235,0.3234
1000,5,0.109307,0.0986,0.0985
1000,6,0.200908,0.1836,0.1836
1000,7,0.192895,0.1763,0.1764
1000,8,0.153832,0.1393,0.1392
1000,9,0.157235,0.1424,0.1422
1000,10,0.227553,0.2091,0.2091
1000,11,0.103502,0.0939,0.0939
1000,12,0.236903,0.2179,0.2177
1000,13,0.142362,0.1298,0.1298
1000,14,0.182491,0.167,0.1485
1000,15,0.122533,0.1115,0.1114
1000,16,0.109975,0.0997,0.0998
1000,17,0.434827,0.4019,0.402
1000,18,0.087885,0.0789,0.079
1000,19,0.157591,0.1441,0.1441
1000,20,0.156524,0.1429,0.143
1000,21,0.122964,0.1108,0.1106
1000,22,0.124698,0.1133,0.1135
1000,23,0.356193,0.3286,0.3287
1000,24,0.178517,0.1631,0.1634
1000,25,0.358649,0.3294,0.3305
1000,26,0.584846,0.5399,0.5403
1000,27,0.420251,0.3833,0.3831
1000,28,0.623236,0.5734,0.5749
1000,29,1.4265,1.3211,1.3223
1000,30,0.508728,0.4669,0.4681
1000,31,0.605084,0.5583,0.5593
1000,32,0.567461,0.5205,0.5221
1000,33,0.169341,0.1513,0.1513
1000,34,0.212864,0.1944,0.1951
1000,35,0.303603,0.279,0.2791
1000,36,0.347492,0.3198,0.3202
1000,37,0.174112,0.1588,0.1587
1000,38,0.179087,0.1634,0.1634
1000,39,0.628024,0.5798,0.5802
1000,40,0.151796,0.1371,0.1378
1000,41,0.350141,0.3221,0.322
1000,42,0.276925,0.2544,0.2544
1000,43,0.130288,0.1176,0.1184
1000,44,0.132441,0.1207,0.1212
1000,45,0.192066,0.1752,0.1756
1000,46,0.504253,0.4649,0.4654
1000,47,0.23029,0.2109,0.2113
1000,48,0.283107,0.2599,0.2602
1000,49,0.290064,0.2669,0.2669
1000,50,0.221631,0.2025,0.2025
1000,51,0.301083,0.2743,0.2738
1000,52,0.196029,0.1791,0.1789
1000,53,0.182868,0.1665,0.1666
1000,54,0.524048,0.4837,0.4841
1000,55,0.146422,0.1328,0.132
1000,56,0.279359,0.257,0.2568
1000,57,0.245917,0.2256,0.2226
1000,58,0.135942,0.1222,0.1236
1000,59,0.13885,0.1265,0.1263
1000,60,0.34818,0.321,0.3211
1000,61,0.138559,0.1263,0.1263
1000,62,0.239799,0.2197,0.2197
1000,63,0.258992,0.2346,0.2346
1000,64,0.640889,0.5903,0.5917
1000,65,0.363522,0.3341,0.334
1000,66,0.38517,0.3511,0.3519
1000,67,0.771016,0.7116,0.7115
1000,68,0.359252,0.3266,0.3263
1000,69,0.614644,0.5668,0.5665
1000,70,0.339564,0.312,0.313
1000,71,0.147164,0.133,0.1336
1000,72,0.176739,0.1594,0.1602
1000,73,1.52815,1.4155,1.4166
1000,74,0.239391,0.2188,0.2192
1000,75,0.340965,0.313,0.3137
1000,76,0.541614,0.4994,0.5
1000,77,0.146734,0.1334,0.1332
1000,78,0.155512,0.1419,0.1419
1000,79,0.356021,0.3283,0.3285
1000,80,0.10948,0.0991,0.099
1000,81,0.325423,0.2999,0.3009
1000,82,0.202362,0.1843,0.1848
1000,83,0.115436,0.1042,0.104
1000,84,0.211258,0.1932,0.1937
1000,85,0.377691,0.3472,0.3476
1000,86,0.300877,0.2765,0.2767
1000,87,0.180197,0.1648,0.1649
1000,88,0.183762,0.1669,0.1677
1000,89,0.459373,0.4225,0.4234
1000,90,0.125398,0.1136,0.1133
1000,91,0.285832,0.2622,0.2632
1000,92,0.308449,0.2838,0.2841
1000,93,0.165259,0.1499,0.15
1000,94,0.162394,0.1474,0.1474
1000,95,0.210182,0.1913,0.1924
1000,96,0.295923,0.2703,0.2706
1000,97,0.17115,0.1559,0.1558
1000,98,0.322849,0.2969,0.2968
1000,99,0.376647,0.347,0.3472
